Managed Fund Name,APIR,Fund Managers Name,URL
APN AREIT Fund APN0008AU,APN0008AU,APN Group,https://apngroup.com.au/
Platypus Australian Equities Fund - Wholesale AUS0030AU,AUS0030AU,Platypus Asset Management,https://www.platypusassetmanagement.com.au/
Platypus Systematic Growth Fund AUS0036AU,AUS0036AU,Platypus Asset Management,https://www.platypusassetmanagement.com.au/
Australian Unity Healthcare Property Trust AUS0037AU,AUS0037AU,Australian Unity,https://www.australianunity.com.au/wealth/managed-funds
Altius Sustainable Bond Fund AUS0071AU,AUS0071AU,Altius Asset Management,https://www.altiusam.com/
Bennelong ex–20 Australian Equities Fund BFL0004AU,BFL0004AU,Bennelong Australian Equity Partners,https://www.baep.com.au/
BlackRock Global Bond Index Fund BGL0008AU,BGL0008AU,BlackRock,https://www.blackrock.com/au
Pendal Australian Equity Fund BTA0055AU,BTA0055AU,Pendal,https://www.pendalgroup.com/
Pendal Global Emerging Markets Opportunities Fund BTA0419AU,BTA0419AU,Pendal,https://www.pendalgroup.com/
Pendal Sustainable Australian Fixed Interest Fund BTA0507AU,BTA0507AU,Pendal,https://www.pendalgroup.com/
CC RWC Global Emerging Markets Fund CHN8850AU,CHN8850AU,Channel Capital,https://www.channelcapital.com.au/
Capital Group New Perspective Fund (AU) CIM0006AU,CIM0006AU,Capital Group,https://www.capitalgroup.com/au/en/
Aberdeen Standard Multi-Asset Income Fund CRS0001AU,CRS0001AU,Aberdeen Standard,https://www.aberdeenstandard.com/
Bentham Wholesale Global Income Fund CSA0038AU,CSA0038AU,Bentham Asset Management,https://www.benthamam.com.au/
Dimensional Two Year Diversified Fixed Interest DFA0002AU,DFA0002AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Australian Core Equity Trust DFA0003AU,DFA0003AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Core Equity Trust DFA0004AU,DFA0004AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Real Estate Trust DFA0005AU,DFA0005AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Core Equity Trust AUD Hedged DFA0009AU,DFA0009AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Bond Trust DFA0028AU,DFA0028AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional World Allocation 70/30 Trust DFA0029AU,DFA0029AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional World Allocation 50/50 Trust DFA0033AU,DFA0033AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional World Equity Trust DFA0035AU,DFA0035AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Short Term Fixed Interest Trust DFA0100AU,DFA0100AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Value Trust DFA0102AU,DFA0102AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Australian Large Company Trust DFA0103AU,DFA0103AU,Dimensional Fund Advisors,https://au.dimensional.com/
