Managed Fund Name,APIR,Fund Managers Name,URL,,,,,,,,,,,,,
IPAC AMP Capital Income Generator ,IPA0174AU,amp,www.ampcapital.com,,,,,,,,,,,,,
Ironbark AMS Moderately Conservative ,DAM0025AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Apis Global Long/Short ,HFL0108AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Copper Rock Global All Cap Share ,MGL0018AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Fulcrum Diversified Investments Hedged ,HFL0104AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark GCM Global Macro ,DEU0109AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Global Ex Australia Property ,MGL0010AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Global Property Securities ,MGL0011AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Karara Australian Small Companies ,PAT0002AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Karara Market Neutral ,PER7802AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Paladin Property Securities ,PAL0002AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
Ironbark Royal London Concentrated Global Share ,MGL0004AU,ironbark,ironbarkam.com,,,,,,,,,,,,,
iShares All-Country Equity Index ,BGL0079AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares Australian Bond Index Wholesale ,BGL0105AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares Australian Equity Index ,BGL0034AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares Australian Listed Property Index Wholesale ,BGL0108AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares ESG Australian Bond Index D ,BLK2127AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares ESG Global Bond Index D ,BLK4636AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares ESG Global Bond Index E ,BLK2319AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares Global Bond Index ,BGL0008AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares Hedged International Equity Index D ,BGL0044AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
iShares International Equity Index ,BGL0106AU,blackrock,www.blackrock.com,,,,,,,,,,,,,
Jamieson CC JCB Active Bond ,CHN0005AU,Jamieson Coote Bonds,www.jamiesoncootebonds.com.au,,,,,,,,,,,,,
Jamieson CC JCB Global Bond Unhedged B ,CHN1425AU,Jamieson Coote Bonds,www.jamiesoncootebonds.com.au,,,,,,,,,,,,,
Jamieson Coote Bonds Active A ,CHN0005AU,Jamieson Coote Bonds,www.jamiesoncootebonds.com.au,,,,,,,,,,,,,
Janus Henderson Australian Fixed Interest Institutional ,IOF0113AU ,Janus Henderson,www.janushenderson.com,,,,,,,,,,,,,
Janus Henderson Australian Fixed Interest ,IOF0046AU,Janus Henderson,www.janushenderson.com,,,,,,,,,,,,,
Janus Henderson Cash Institutional ,IOF0141AU,Janus Henderson,www.janushenderson.com,,,,,,,,,,,,,
