https://aware.com.au/content/dam/ftc/charts/Super.csv
Date,Growth,Growth AVG,High Growth,High Growth AVG,Diversified Socially Responsible Investment,Diversified Socially Responsible Investment AVG,Balanced Growth,Balanced Growth AVG,Cash,Cash AVG,Australian Equities,Australian Equities AVG,Australian Equities Socially Responsible Investment,Australian Equities Socially Responsible Investment AVG,International Equities,International Equities AVG,Property,Property AVG,Australian Fixed Interest,Australian Fixed Interest AVG,International Fixed Interest,International Fixed Interest AVG,Conservative Growth,Conservative Growth AVG
1/02/2021,0.0030008360110409527,,0.0076950191809781465,,0.003176274065915363,,9.498946308934553E-4,,2.449481482931226E-4,,0.014654864007380919,,0.0038164660260893157,,0.013894610802308138,,0.021613479542558878,,-0.03085516559074475,,-0.01565423036636404,,-0.005058053610808133,
1/01/2021,0.004986009106378697,,0.006820388997716531,,-0.0017294246645371825,,0.0019804825337246257,,2.7111464332274515E-4,,0.0031172604624185585,,-0.004060156396516468,,-0.004698882193789,,0.003177070364865031,,-0.0037128174505880462,,-0.006199179788365261,,-1.0278458839141358E-4,
1/12/2020,0.015052802,,0.018477271,,0.00910302,,0.010318262,,3.59E-04,,0.012808894,,0.009878686,,-0.005185803,,0.017237303,,-0.002184057,,0.001484658,,0.002613857,
1/11/2020,0.043161927,,0.056249288,,0.037254192,,0.027441259,,3.77E-04,,0.088813212,,0.077465393,,0.066573308,,0.069200978,,-8.60E-04,,0.005746842,,0.010207697,
1/10/2020,0.005326022,,0.006133314,,4.31E-04,,0.002463684,,4.30E-04,,0.019246751,,0.016961191,,-0.009566109,,-0.017463237,,0.002446878,,8.77E-05,,0.001207421,
1/09/2020,-0.003156553,,-0.006783728,,-0.008066738,,-0.002088139,,3.85E-04,,-0.031253468,,-0.037485558,,-0.002799624,,-0.012231435,,0.009506017,,0.003579293,,9.95E-04,
1/08/2020,0.019162834,,0.025221899,,0.015989497,,0.0097884,,4.98E-04,,0.028851677,,0.026723728,,0.031966349,,0.008274046,,-0.003735833,,-0.007055224,,0.002632634,
1/07/2020,0.009077313,,0.011081901,,0.009400798,,0.007274098,,5.82E-04,,0.005336685,,0.011562071,,0.006055759,,0.010710488,,0.003302018,,0.010829991,,0.004355045,
1/06/2020,0.013708571,,0.015564373,,0.009478451,,0.011967834,,7.65E-04,,0.022720557,,0.021891506,,-0.009382033,,0.01833908,,0.003149397,,0.005946152,,0.007488661,
1/05/2020,0.019609935,,0.024522959,,0.018174216,,0.015142524,,6.01E-04,,0.039935407,,0.036228114,,0.031451946,,0.001117064,,0.002606102,,0.00372435,,0.007515372,
1/04/2020,0.02447104,,0.036351821,,0.027742554,,0.013223715,,8.18E-04,,0.077459095,,0.066961767,,0.033560232,,0.038985126,,-0.001058766,,0.013517932,,0.001801654,
1/03/2020,-0.079097872,,-0.096352647,,-0.071800161,,-0.06089441,,9.58E-04,,-0.182088404,,-0.179130923,,-0.076252675,,-0.153409907,,-0.001268507,,-0.018133766,,-0.027949373,
1/02/2020,-0.029689844,,-0.039522213,,-0.031738933,,-0.020706743,,9.66E-04,,-0.067608877,,-0.0622947,,-0.044343496,,-0.047719029,,0.007410453,,0.010084315,,-0.007433281,
1/01/2020,0.01980703,,0.021992869,,0.018482639,,0.01782087,,0.001073891,,0.043385968,,0.044917792,,0.039965615,,0.013677226,,0.020259238,,0.017014142,,0.011247585,
1/12/2019,-0.000705648,,0.000672532,,-0.001514156,,-0.002189457,,0.001086579,,-0.015877447,,-0.018667636,,-0.006523423,,-0.002259977,,-0.014258399,,-0.002961757,,-0.001427463,
1/11/2019,0.024934419,,0.029051793,,0.019866014,,0.019649471,,8.62E-04,,0.029579119,,0.024510551,,0.043085997,,0.006168637,,0.007029527,,-0.002150332,,0.010153953,
1/10/2019,0.007755051,,0.010638335,,0.003391441,,0.004704601,,0.001184788,,-0.003213609,,-0.002449004,,0.003868919,,0.011345939,,-0.003864668,,-0.002294355,,0.002072862,
1/09/2019,0.009560346,,0.011896849,,0.009098117,,0.006585871,,0.001180242,,0.018014863,,0.01225226,,0.019265399,,0.010711917,,-0.00421842,,-0.005329676,,0.002266909,
1/08/2019,-0.00561243,,-0.008400843,,-0.007825609,,-0.002932292,,0.001174354,,-0.017928541,,-0.018034694,,7.14E-05,,0.027066012,,0.01321956,,0.019961243,,7.69E-04,
1/07/2019,0.016204746,,0.017803505,,0.016510973,,0.013268475,,0.001309637,,0.026681396,,0.033486025,,0.02178284,,0.021524235,,0.00830544,,0.006397334,,0.008706302,
1/06/2019,0.023294486,,0.029219091,,0.027738776,,0.018186798,,0.001457088,,0.032359096,,0.032388755,,0.048746907,,4.08E-05,,0.008902207,,0.011778504,,0.008665871,
1/05/2019,-0.006359807,,-0.011301424,,-0.006301558,,-0.00221564,,0.001709318,,0.017828397,,0.022396438,,-0.039085814,,0.009152667,,0.014796561,,0.011887155,,0.003231163,
1/04/2019,0.018767576,,0.023273868,,0.023307804,,0.014361544,,0.001903893,,0.021878153,,0.025282853,,0.04450464,,0.001774133,,0.002615708,,3.86E-04,,0.007466229,
1/03/2019,0.0102371,,0.010073746,,0.009849616,,0.010003475,,0.001713507,,0.008374504,,0.014929444,,0.016044424,,0.02108626,,0.015584057,,0.015392913,,0.007629875,
1/02/2019,0.025222359,,0.030443426,,0.026988042,,0.019495086,,0.001632509,,0.05480249,,0.053893471,,0.051167895,,0.010756773,,0.008117814,,6.53E-04,,0.009286971,
1/01/2019,0.026810573,,0.033073722,,0.026964815,,0.020842335,,0.001775202,,0.032871534,,0.032752328,,0.036309908,,0.062208888,,0.005519538,,0.008644649,,0.010639948,
1/12/2018,-0.013437283,,-0.018856017,,-0.017898063,,-0.008159055,,0.001730031,,0.001649778,,-0.011289788,,-0.03845451,,-0.025948758,,0.012808441,,0.011902363,,-4.51E-04,
1/11/2018,-0.003295807,,-0.004381609,,-5.79E-04,,-0.00150664,,0.001692017,,-0.016309056,,-0.010979092,,-0.015826851,,0.01477587,,0.002300826,,0.003360148,,5.19E-04,
1/10/2018,-0.030536696,,-0.040151303,,-0.031237621,,-0.02067307,,0.001862937,,-0.055065474,,-0.054568004,,-0.050435871,,-0.006793729,,0.004236143,,-0.002600242,,-0.005662263,
1/09/2018,-0.004075238,,-0.004152842,,-0.003128718,,-0.002937428,,0.001544575,,-0.009918359,,-0.014827759,,0.005670931,,-0.011826228,,-0.003854059,,-0.003571103,,-7.62E-04,
1/08/2018,0.015792594,,0.018736354,,0.016431337,,0.01215763,,0.001754737,,0.015115131,,0.020238178,,0.039182036,,0.018218767,,0.006920937,,0.002692673,,0.006849805,
1/07/2018,0.012762831,,0.015162629,,0.01664201,,0.010035412,,0.001823497,,0.011700448,,0.006376929,,0.023096459,,0.010175515,,0.001417042,,1.40E-04,,0.006998215,
