https://www.telstrasuper.com.au/api/Investment/DownloadMonthlyInvestmentPerformance?SelectedOptions=GROW%2CBAL%2CDEFG%2CCONS%2CINTL%2CAUST%2CPROP%2CFINT%2CCASH%2CINC&Category=AC&DataType=performancepercentage&DateRange=12m&ShowAll=1
Date,Growth,Balanced,Defensive Growth,Conservative,International Shares,Australian Shares,Property,Fixed Interest,Cash,Diversified Income
30/04/2020,3.26%,2.72%,2.20%,1.44%,4.49%,8.22%,0.89%,0.61%,0.09%,2.63%
31/05/2020,3.21%,2.66%,2.04%,1.44%,3.30%,4.29%,1.43%,0.60%,0.03%,2.16%
30/06/2020,0.29%,0.35%,0.62%,0.43%,-0.01%,1.39%,0.18%,0.54%,0.02%,1.51%
31/07/2020,1.00%,0.69%,0.67%,0.38%,1.99%,0.42%,-0.29%,0.83%,0.03%,0.53%
31/08/2020,1.97%,1.47%,0.54%,0.49%,2.61%,3.26%,0.80%,-0.18%,0.03%,0.77%
30/09/2020,-0.31%,-0.15%,0.02%,0.04%,-0.35%,-2.62%,0.25%,0.39%,0.01%,-0.23%
31/10/2020,0.60%,0.41%,0.15%,0.15%,-1.07%,1.55%,0.09%,0.19%,0.01%,0.33%
30/11/2020,6.11%,5.03%,3.12%,2.45%,8.31%,9.93%,1.20%,0.27%,0.03%,3.31%
31/12/2020,1.68%,1.39%,1.08%,0.97%,1.64%,1.47%,3.24%,0.23%,0.18%,1.26%
31/01/2021,0.28%,0.18%,-0.05%,0.06%,-0.46%,0.32%,0.23%,-0.22%,0.06%,0.12%
28/02/2021,1.68%,1.24%,0.14%,0.22%,2.26%,2.14%,0.41%,-1.52%,0.04%,0.39%
31/03/2021,2.58%,2.30%,1.79%,1.18%,3.70%,2.47%,0.65%,0.10%,0.01%,1.52%
