Offering,hesta Conservative,hesta Eco,hesta Balanced Growth,hesta Indexed Balanced Growth,hesta Cash and Term Deposits,hesta Property and Infrastructure,hesta Diversified Bonds,hesta International Shares,hesta Australian Shares,hesta Core Pool ,hesta Shares Plus ,hesta Cash ,hesta Global Bonds ,hesta Property ,hesta Infrastructure ,hesta International Shares ,hesta Australian Shares ,hesta Private Equity ,hesta High Growth,aware Conservative,aware Growth,aware Growth AVG,aware High Growth AVG,aware Diversified Socially Responsible Investment,aware Diversified Socially Responsible Investment AVG,aware Balanced Growth,aware Balanced Growth AVG,aware Cash,aware Cash AVG,aware Australian Equities,aware Australian Equities AVG,aware Australian Equities Socially Responsible Investment,aware Australian Equities Socially Responsible Investment AVG,aware International Equities,aware International Equities AVG,aware Property,aware Property AVG,aware Australian Fixed Interest,aware Australian Fixed Interest AVG,aware International Fixed Interest,aware International Fixed Interest AVG,aware Conservative Growth,aware Conservative Growth AVG,telstra Growth,telstra Balanced,telstra Defensive Growth,telstra Conservative,telstra International Shares,telstra Australian Shares,telstra Property,telstra Fixed Interest,telstra Cash,telstra Diversified Income
1993-01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.049,,,,,,,,,,,,,,0.049,,,,,,,,,,,
1993-02,,,,,,,,,,,,,,,,,,,,,0.4590252,,,,,,,0.4590252,,,,,,,,,,,,,,0.4590252,,,,,,,,,,,
1993-03,,,,,,,,,,,,,,,,,,,,,0.5438147,,,,,,,0.5438147,,,,,,,,,,,,,,0.5438147,,,,,,,,,,,
1993-04,,,,,,,,,,,,,,,,,,,,,1.0366079,,,,,,,0.2744952,,,,,,,,,,,,,,0.8931736,,,,,,,,,,,
1993-05,,,,,,,,,,,,,,,,,,,,,2.2624891,,,,,,,0.4173778,,,,,,,,,,,,,,0.9461943,,,,,,,,,,,
1993-06,,,,,,,,,,,,,,,,,,,,,1.1068393,,,,,,,0.349384,,,,,,,,,,,,,,0.3663189,,,,,,,,,,,
1993-07,,,,,,,,,,,,,,,,,,,,,4.8002721,,,,,,,0.4073384,,,,,,,,,,,,,,2.3216876,,,,,,,,,,,
1993-08,,,,,,,,,,,,,,,,,,,,,5.4128635,,,,,,,0.4475423,,,,,,,,,,,,,,2.895813,,,,,,,,,,,
1993-09,,,,,,,,,,,,,,,,,,,,,0.4606038,,,,,,,0.3774582,,,,,,,,,,,,,,0.4322924,,,,,,,,,,,
1993-10,,,,,,,,,,,,,,,,,,,,,2.8437601,,,,,,,0.3411057,,,,,,,,,,,,,,1.6220865,,,,,,,,,,,
1993-11,,,,,,,,,,,,,,,,,,,,,-0.2370203,,,,,,,0.3944339,,,,,,,,,,,,,,-0.3881443,,,,,,,,,,,
1993-12,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,
1994-01,,,,,,,,,,,,,,,,,,,,,2.9917948,,,,,,,0.3708574,,,,,,,,,,,,,,1.8282696,,,,,,,,,,,
1994-02,,,,,,,,,,,,,,,,,,,,,-1.6268115,,,,,,,0.3082715,,,,,,,,,,,,,,-2.0914136,,,,,,,,,,,
1994-03,,,,,,,,,,,,,,,,,,,,,-1.1743722,,,,,,,0.3887892,,,,,,,,,,,,,,-1.2003853,,,,,,,,,,,
1994-04,,,,,,,,,,,,,,,,,,,,,0.0428306,,,,,,,0.3505436,,,,,,,,,,,,,,-0.1714765,,,,,,,,,,,
1994-05,,,,,,,,,,,,,,,,,,,,,-0.4636253,,,,,,,0.4015943,,,,,,,,,,,,,,-0.4885134,,,,,,,,,,,
